"krs","m.0","m.1","m.2","m.3","m.4","m.5","w.0","w.1","w.2","w.3","w.4","w.5"
1001,2127,3832,14122,14243,7708,2567,2057,3671,12773,13630,9032,3742
1002,5734,10020,38710,39788,19839,6475,5554,9482,38853,39898,23402,9793
1003,4908,9124,26847,36057,20199,7236,4539,8682,25908,37409,25000,11289
1004,1829,3730,9922,13607,7550,2603,1667,3477,9024,13316,8851,3911
1051,2730,5931,14696,22693,14845,4825,2663,5647,13391,22997,16238,6554
1053,4856,9615,20796,35640,19234,6740,4622,9058,19152,36584,21581,9386
1054,3569,7261,19032,27874,17541,5822,3273,6801,16900,29328,20073,8033
1055,3642,8240,19087,33895,23701,8200,3687,7919,17488,36510,27019,11193
1056,7605,15115,34159,57124,29711,10497,7208,14345,31474,58189,34395,14569
1057,2716,5698,12310,22267,14398,5143,2568,5662,11329,23510,16263,6783
1058,6082,13025,28333,48365,28721,9583,5715,12398,26000,50191,31641,12721
1059,4658,9681,21231,34917,21476,7129,4330,8959,19583,35434,23357,9270
1060,6478,13370,30532,50815,26389,8933,6206,12506,27631,50984,30147,12041
1061,2862,5978,14465,23723,13474,4421,2816,5640,13125,23943,14689,6211
1062,5697,12127,23992,44448,23861,8706,5497,11438,22494,45886,27187,11863
2000,50339,83822,248102,329427,141703,48655,47928,78534,246744,325303,168041,72581
3101,5510,9954,36485,41982,21392,7662,5457,9466,31885,40905,25907,11687
3102,2891,5291,12764,17458,10343,3455,2710,4788,11329,16975,11897,5047
3103,3313,5622,15564,21525,11437,4359,3112,5193,13764,20757,13317,6188
3151,4605,8708,19981,32489,17108,5144,4370,8305,18011,32026,18219,6954
3153,2490,5213,15907,23004,15688,5532,2409,4881,12940,22877,17940,8133
3154,2077,3985,9794,16523,9822,3040,2018,3819,8753,16243,10730,4503
3155,2752,5604,13973,22989,15236,4891,2606,5340,12525,23346,16310,7193
3157,3295,6569,14653,24534,13017,4218,3217,6257,13373,24419,14430,5983
